data,lable
嗯嗯谢谢啦 对的当时是因为山根不想做粗了才做的硅胶还好做的硅胶 无比难受 [泪][泪][泪] 好像是动过了 [泪][泪][泪] 不敢做肋骨，就想多问一些医生有没有别的办法 咨询之后告诉我要做肋骨鼻修复 硅胶?耳软骨还是两侧的耳软骨都用了 不知道找谁 一直在找医生修复 结果做完发现更多地方需要做了 我并不想再改变其他的地方了，我就是完全没有山根才去做的鼻子 对了做了鼻子眼睛还变小了[泪][泪][泪] 哭了 就是你发的那种网红脸即视感 是这样，难受 对的 就更凸显鼻子了 我额头也不饱满 对的就是这样。做了快两年了 现在叫我去做下巴，我一点也不想去做下巴，只想去修复鼻子 对的鼻尖特别长，但是我下巴后缩所以侧面鼻子很突兀 [微笑]我还是喜欢没做鼻子之前 完全没有少女感 分享图片 分享图片 我下巴后缩配不上这种鼻子 瞬间老了5岁 鼻子是好看，就是做太长了，把我的中庭拉的很长 分享图片,1
@丨更近丨 我突然发现、我也算内眦诶,1
咬肌真的变大不少[跪了],1
看看我的蒙古褶[泪][泪]我觉得还没有办法开眼角因为眼间距还很近 只能这样咯 蹲福利~,1
我有空就去咨询一下 好 反正鼻子整个就很大 是啊 嘤嘤嘤了 不笑丑，笑也丑 这个图片就很明显看出来鼻子很大 分享图片 会不会变成朝天鼻[允悲] 我不想要网红鼻子， 怎么变得好看嘻嘻 就 我这种的话，鼻子，应该做什么类型的呢 你们开这个号是为了给更多的人看到整形有关的信息吗 拥有美貌外表和沙雕灵魂的路路吗哈哈哈 现在是，璐璐，啪姐还是黑妹哪位跟我聊天呀[喵喵] 哈哈哈，好 福建或者湖南的医院有推荐吗 一直就是默默的看你发微博嘻嘻 做手术，咨询需要预约和费用吗，我还没接触过这些 可能，需要磨骨[衰]但是我听说做鼻子手术很危险 驼峰那块也会比较宽一点点 正骨有这种项目吗 小姐姐[衰][衰]小腿不粗，但是膝盖那里骨头感觉是弯的，还有救吗 然后加上正面的泪沟显老，严肃起来就看了十几岁 分享图片,1
谢谢[兔子][兔子][兔子] 不考整容填充 有其他办法修饰改善吗~ 像这种侧脸 很平 感觉面部还有点凹陷 分享图片 哦哦[晕][晕] 您能分析一下这个面相吗~特别是这个下吧 在这种脸型上到底是不是偏长,1
回复@从此黑夜长于白昼:是   但是结果王一博比肖战脸还小[允悲]他俩都帅,1
回复@仙女颜究所:是的 我在努力减肥。那我这算什么脸型,1
皮肤爱长痘痘，毛孔大，有闭口怎么办？ 回复@刘代旭LA:不知道用什么护肤品了,1
我这种算还是不算啊,1
还是说关粉大概也是代入自己 觉得粉她就能有她的背景运势吧 思维眼睛果真不是人类所拥有的 我觉得上面很多“路人”平时没怎么关注桶 都被她的腿营销精修图营销骗了 先入为主先看到好看的图 既有印象形成 对她有滤镜吧 回复@橘饼干:腰细 回复@橘饼干:腰细四肢细？ 回复@橘饼干:腰细？ 回复@唐为什么不甜:精修图哦 回复@-Jyhoo:该瘦的地方不瘦 桶能怪谁 回复@-Jyhoo:欧美女星骨架比她大 个子比她高 却十分和谐 回复@我永远的小倾城:桶桶很可爱啊  你头像好丑 马思纯这几张比关桶好点,1
回复@-SHHHIRLEY:上庭长，下巴短，娃娃脸的基本标志，加上小姐姐的五官都是圆弧型多，比如圆圆的眼睛等，这些都会显得人更加可爱[哈哈],1
回复@E艺恩N:哈哈哈哈哈哈 一次性丰唇器 你给我推荐推荐什么牌子8,1
回复@仙女颜究所:她自己没有说口红涂太厚也没有说过自己的嘴最近怎么怎么了哦  是她本人很喜欢厚唇 口红都要厚涂 然后去丰唇辽,1
回复@小蹲孩儿:她整一下牙也许我能get到…… 回复@BeatrizJiang:你可以看看你身边的同学，估计吊打她的都不少。明星是什么存在呢，是高岭之花是启明星辰。周扬青已经是网红里很好看的了，跟阿娇一起拍照也是被吊打。有的人生来就是吃这碗饭的，不是祖师爷赏饭吃还硬要抢，观众肯定觉得吃相难看啊。sy真的后台太硬了…… 回复@BeatrizJiang:我不是sy黑粉，就事论事。她方向走错了，如果走实力派配角，肯定不会被嘲的那么厉害。不过她不是科班出身演技也差，走这个方向也难。她不适合娱乐圈。杨紫这么高瘦还整容，宋丹丹都说她不好看不适合走娱乐圈，何况是sy… 回复@BeatrizJiang:身高多少不重要（在不极端的情况下），重要的是看起来多高。她现在就算实际身高170，看起来也是150，骨架比例不行才是症结所在。她身材与阿娇很相似（我阿娇颜粉）阿娇出了名的把墙p歪还是萝卜腿，再怎么打瘦腿针都粗。但是阿娇是爱豆出身神颜撑着，也不会每一部都女主也不怎么演戏，路人缘好很多… 回复@BeatrizJiang:摄影系导演系的不做明星也做幕后工作啊。表演系想做演员最低要求就是身材比例过得去。没有人考进北电就是为了做绿叶演矮丑反派衬托主角的。演戏讲究符合人设。帅哥可以扮丑，矮丑不能扮帅哥。sy最大问题是她每次都要演跟她形象不符的女主。大s井上真央哪个不吊打她呢。如果不演女主观众缘会好很多 回复@仙女颜究所:对，头身比体脂率腰线肩线四肢长短都有讲究。我也有见过矮个子比例特别好的，如艾玛斯通。某位女星更是再怎么打瘦腿针瘦脸针都无法拯救的比例。因为骨架是天生的。蔡依林杨丞琳等等都是不足160的，腿都很细…不是sy那种肌肉腿。明星有一点硬伤可以遮住（如刘亦菲溜肩）但sy硬伤太多了她脸也比男明星大 回复@BeatrizJiang:我一般不会judge明星外表，但她真的太差了…路人都比她好看，如果她身材好也就罢了，样子可以整。但这个身高…恕我直言如果不演女主也还行，硬要演女主大家只会觉得她后台硬。观众固然只是普通人，但也有审美。强行演女主只会路人缘更坏。而且每一部剧都是女主就更让人有想法了。 回复@BeatrizJiang:我165……现在90后营养好，158以下非常少见了……而且确实做明星得看头身比啊，那为什么中戏都收高个子呢？高个子就是穿衣服好看有气质啊。明星就是得外表各方面吊打路人啊。如果明星条件差到哪方面都得找补，那还叫明星吗？也许你可以看看黎姿那种从头美到脚趾头的真正的明星。 回复@仙女颜究所:她是唯一一个我认为路人可以吊打她的女明星……亦舒说不是漂亮就可以做明星的，得漂亮到让人“哇”一声才可以。别说漂亮了，路人都比她条件优越。毕竟这么矮的女生在我们南方都很少见。中戏不足165是很难进去的，女明星身高普遍在167+…越高个子头身比越优秀。上镜才越好看。不然为什么模特都在175+ 其实就是150和165的区别……身高不够再硬凑也不行。她的身材颜值不足以做明星……每次看到她就觉得她家有很硬的背景 回复@NNNNNino小红咦:无论南方人身高几何。头身比不优秀（如头大、腿粗）身高比较矮都是不适合做明星的，除非颜值过硬（如阿娇）不然等嘲吧……如果南方人矮，就是南方人不适合当明星呗（就事论事我也是南方人）以前港星几乎都是外来的，王祖贤台湾的，利智四川的，刘嘉玲张曼玉上海的…… 回复@仙女颜究所:连续几个星期给我打电话 催我去面诊 我想去自然会去 这样只会让人更反感 碧莲盛很烦人… 好像人妖…… 回复@_是小鲜呀:再怎么亲和力，这个外形每一部剧都是女主，说这话你自己信吗[允悲]亲和力强的美女多了去了，哪个不是求爷爷 告奶奶才拿到试镜机会。 马思纯真的老大三粗的。如果不是后台的话，当明星能红吗 回复@爱吃蜜桃派的兔子:实际身高多少不重要，只要不是太极端。问题是沈月看上去150啊……而且丑。路人都可以吊打的外表实在没办法。,1
回复@权萌萌的小龙女:[嘻嘻][嘻嘻] 苏菲娜今天刚用完第二瓶，已经回购 果真美女都得对自己够狠[嘻嘻] 回复@仙女颜究所:好的，谢谢仙女 回复@仙女颜究所:波比布朗的收毛孔精油有效果吗 毛孔粗大的话只有医美才有效果吗 好喜欢这个礼盒啊，举爪 申请了 真的老了好多 回复@仙女颜究所:哈哈?? 不露都觉得好看怎么回事 回复@仙女颜究所:[爱你][爱你] 晚安啦 让我来 回复@青玄墨兮:好的，谢谢小仙女 佩服啊佩服 回复@仙女颜究所:左脸大，右脸小 左侧睡 不愧是天仙啊 早安 朴敏英整的也好成功 小s真的时时刻刻都在关注自己的眉毛啊（参考我们是真正的朋友）[笑cry],1
哇哭了我就是内眦赘皮连着泪沟而且泪沟那块特别黑哭了哭了,1
回复@Asteria_Csl:呜呜呜怎么好看整啥呀 整容是留给我们这种丑的人的[泪],1
我真的觉得肖战的眼睛绝了 没人比他眼睛更好看了 我特别喜欢长眼 特别有神又无辜 可我觉得她真的好漂亮哦 回复@普通嘲羊群众:本来像羡慕一下你的直角肩 但我更想说 我也是孙??? 薛之谦? 华晨宇粉丝? 太像了！！！ 回复@仙女颜究所:可能就是付出多少就会收获多少吧哈哈哈？ 哎 有些明星35? 还总是自诩甜美可爱 但毫无演技 我真的无语,1
华为前置 我黑眼圈泪沟好明显 也觉得眼距有点宽 但是自己对着镜子模拟一下开内眼角又觉得好奇怪啊…,1
佳能m6 8.8号转运感谢//@仙女颜究所:更新：已达成金钱交易[doge]//@仙女颜究所:请这位姐妹私信我，看了一下你的愿望，我觉得我买不起[跪了]//@仙女颜究所:恭喜@22501么 1名用户获得【七夕愿望礼单】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：http://t.cn/AiToKaoE 8.8号转运感谢//@仙女颜究所:更新：已达成金钱交易[doge]//@仙女颜究所:请这位姐妹私信我，看了一下你的愿望，我觉得我买不起[跪了]//@仙女颜究所:恭喜@22501么 1名用户获得【七夕愿望礼单】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：http://t.cn/AiToKaoE,1
韩剧我的女孩里面李多海那个时候就整的特别好看！！！不看她以前照片完全看不出来整容，只是后来又整成网红脸了,1
请问我这个属于哪种呢 http://t.cn/AiTdc1qq,1
回复@仙女颜究所:脸上脂肪多多的打了是不是很容易脸凹 同款脸型。。。 回复@寻寻觅觅终当归:留刘海 来了,1
回复@仙女颜究所:好的呢，感谢仙女回复[太开心] 这简直就是我的脸型，要设置成特别关注了呢[太开心]这种脸适合什么发型啊仙女 回复@吾名北珂:感觉像是……算了一会不敢上厕所了 回复@仙女颜究所:么么哒，感谢回复 那吃很甜的水果呢，小仙女微信没有通过呢[泪],1
回复@仙女颜究所:那像那种本身就有点黄的除了美牙贴烤瓷牙就没有办法改变吗[疑问]为什么有的人一直就是很白[允悲][允悲]我看我们俩的牙完全不是同一种感觉[允悲][允悲] 我的一个高一同学牙很白。这和牙本身的某种物质有关吗？比如钙？[疑问] 回复@一个活在夏天的人:我知道，但是我的那个同学的牙就是天生雪白的，我[酸],1
现在真的不好看,1
@张英俊真英俊 有内眦赘皮吗,1
回复@仙女颜究所:我感觉我天生多层眼皮 很?_?。。我超想知道有没有什么办法可以让我变成双眼皮,1
我就是担心做的不好收费还高 [泪][泪]好叭 那必妩整体怎么样呢 求推荐韩国的抽脂医院,1
所以我的眼下细纹是因为内眦赘皮吗[悲伤][悲伤][悲伤] 回复@仙女颜究所:好的谢谢你！ 回复@略略大王:！,1
这样的是轻度吧？上次鬼母做双眼皮 我很想开眼角来着 被医生拦住了,1
国内眉弓本身就不成熟啊，我在上海混这么久都不知道哪个医院有做眉弓很成熟的医生，更何况成都。。[睡],1
小仙女求看眼距瞳距 瞳距是怎么看呢？ 回复@仙女颜究所:害怕留疤 回复@仙女颜究所:所以要开眼角？,1
回复@奶油桃子和石榴:大概三四个月吧 回复@要不要约一杯奶绿:超有用！我已经拥有直角肩了[doge] 回复@孙三百五十空:我的妈呀！握爪[握手] 回复@龚敏敏敏敏敏敏:动作对了就不会把,1
国内眉弓本身就不成熟啊，我在上海混这么久都不知道哪个医院有做眉弓很成熟的医生，更何况成都。。[睡] 我都因为颅顶太低 年纪轻轻去植发了[泪][泪][泪],1
原本眼睛内呲开了眼角，还是回缩了，但是回缩之后更满意了[允悲],1
回复@肖战秘密女友:好看！杏眼很灵气的哇！不要急着开！想想好！,1
回复@小蹲孩儿:瘦的严重时就跟图一眼睛一样[悲伤][悲伤][悲伤] 回复@小蹲孩儿:啊啊啊啊我就是[泪]有时候感觉瘦的严重了就会上眼皮凹陷，看着像营养不良 啊，我也是下颌角低，有点偏方脸也有点偏圆脸，脸比较扁平，偶尔炸起来觉得好看，但是又觉得扎着脸大[泪][泪][泪][泪],1
我这种 算吗 还蛮喜欢我的肩膀 但是感觉我的斜方肌还是有一些 我这种算啥啊 ... 回复@仙女颜究所:哇居然回我辣 谢谢！那我这种应该很适合割双眼皮开眼角哦,1
回复@amnesia0210:咋的必须长得好看才能看别人难受是吗？装你?? 仙女呢？ 我一直以为现在整容行业这么发达明星一定都是整那种很高级很自然的，没想到还有明星像杨紫这样整的，连我妈都说这孩子的脸怎么看着像网上的那些网红,1
那牙瓷贴面会对牙齿影响大吗？,1
回复@仙女颜究所:我本来是单眼皮 双眼皮贴久了变双的 可惜我的小眼睛不持久[泪],1
我终于知道为啥我批头脸反而变大了！！！ 我感觉我全占,1
重点她这个身材和脸在胖的里面也不算美,1
回复@粉红猕猴桃:你好 借个楼 我是这样的脸型 一直都是有刘海 但是年龄越来越大 刘海怕幼稚 所以想换个发型 之前试过中分刘海 没有很好看 所以麻烦问一下 可能中分时没有做造型是自己弄的有点丑,1
@丨更近丨 我突然发现、我也算内眦诶 回复@仙女颜究所:哈哈哈！我太激动！还打错了！我要说的是我这种脸包头！打成了头包脸！满心羡慕别人的饱满圆头高颅顶！ @丨更近丨 拿我自己举例！头包脸才不是说单纯额头高！我不仅额头不高还低颅顶！贼显脸大！留刘海可能不一定显脸短！但是真的会适当修饰颅顶！还有就是奉劝各位仙女保护好自己的发际线！[佐伊卖萌] http://t.cn/AiHWIXpv 回复@不见走马灯:其实我也是自然卷的！但我还头发硬！一般新头发还有小绒毛会短头发会带卷~所以面上一层正常刘海下还有一层卷毛[允悲],1
腰腹力量真的可以增加吗！ 腰腹力量真的可以增加吗！,1
回复@仙女颜究所:图片评论 博主帮我看看我的、是不是要开眼角了 回复@仙女颜究所:谢谢博主、其实我也注意到这个问题所以一直没敢弄眼睛、不弄又觉得不好看[允悲]不知道怎么弄这个眼镜了,1
怎么缩短鼻子呢 我觉着我就太高了哈哈哈哈,1
害  我凸眼还想可不可以把眉骨弄高改善一下呢 md收藏了,1
跟遗传因素有关[泪]全家黄牙，牙齿不整齐 回复@-梦里梦里见过你-:没做，我小学去过牙科医院一次，我妈觉得太贵没狠下心给我做。现在不露牙的话还能接受吧[泪] 回复@-梦里梦里见过你-:我妈我爸，我妹妹弟弟的牙都是不整齐且发黄[泪],1
我终于找到一张没贴双眼皮贴的， 我眼间距有点大，但是贴了双眼皮贴就又还行，我要不要割内眼角啊啊啊啊！！ 回复@仙女颜究所:谢谢！,1
我也是//@微风艾木子:我也是嘴角下垂，平时要是不笑别人都会以为我心情不好，其实我真的没有啊真的好亏啊很多人都这么以为过(因为我不怎么喜欢笑),1
回复@琦琦超棒的:等等 我去看看她以前长啥样 回复@琦琦超棒的:这张图就是她病好的时候出席，就被好多人拿来说她整容失败了，脸残了 回复@琦琦超棒的:后来整没整我不知道 回复@琦琦超棒的:不是，她以前生病期间就被人喷整容失败了，说她脸奇怪 回复@琦琦超棒的:来私聊 回复@琦琦超棒的:姐姐，你生病了假如，或者我生病啦，出车祸了，别人一直拿出来说我脸奇怪，真挺难受的 回复@琦琦超棒的:跳梁小丑？ 回复@丶胖胖的橘猫:粉丝死不承认。。。的样子真的挺烦人的，整不整容没什么影响吧，没必要死不承认，只是生病是事实，我说了事实，她自己说没整容了。 回复@琦琦超棒的:两个眼睛 回复@琦琦超棒的:？我说他尖酸刻薄了？哎哟她自己总结的泼我身上您就来骂我了？ 回复@琦琦超棒的:我咋知道她以前嘴长啥样啊姐姐，人家生病了被人拉出来当整容失败案例我说一句您们一大队人来喷我说她整容了我不承认。哎哟 回复@琦琦超棒的:唇珠我没听过，也不记得她以前嘴长啥样，我说脸，我以为脸得病了肿了 回复@琦琦超棒的:嘴发炎嘴开裂姐姐我真不是粉丝我tm连她粉丝叫啥也不知道 回复@琦琦超棒的:我就说她生病了脸变了，你就说她整容了整唇珠了，我们各说各多愉快。 回复@琦琦超棒的:我说我的看法你说你的不行吗 回复@琦琦超棒的:你反驳你再开个贴扒皮去，一个劲怼我粉丝装路人，有必要吗？ 回复@琦琦超棒的:哎哟，万一是你误导呢？ 回复@琦琦超棒的:东北妹子，嫩大的唇珠我不知道了，脸肿确实是得病了吧我记得，那段时间歌都不唱了 回复@破音威朗:我真真真真真的不是粉丝而且我一直记得她得过很严重的病好久没唱过歌脸都变了。我信了，我老年人，打扰了小屁孩 回复@琦琦超棒的:现在说个生病了脸变了不是整容了都叫吹没整容吗？ 回复@琦琦超棒的:姐姐，我她微博都没关注，我真不是粉丝，姐姐 回复@小妞私奔去:以前得那个蜂窝组织炎了，挺难受的 回复@娃子姐:前几年生的病，挺严重的，脸变应该是有关系的，她自己说没整容了。 回复@可爱的野原小葵:[摊手]我记得以前真辟谣了 回复@一一的圣诞结:不是整容修补，是那几年她生病特别严重，晒了病历什么的，就到处有人碰她整容失败了，我就觉得挺可怜的。 回复@一一的圣诞结:她以前真不丑吧？我记得她叫甜心教主？还是杨丞琳？还是什么甜？歌甜人美以前都这么说她。那个微笑百事达我也觉得长的挺可爱的。 回复@無二私人定制:整了？确定吗？那我疏忽了，不是专业医美的以为她真的生病了脸变了。我亲戚就是生病了完全变了一个人，脸型什么的都变了。以前辟谣了我信了觉得挺可怜的，既然你这么专业，那我道歉。 回复@想一句话代替我现在的心情:真的整了？我看了最近串烧演唱会觉得脸还可以 回复@琦琦超棒的:恩行  整了。管我屁事啊，人家生个病整个容跟我有啥关系，跟你有啥关系 回复@命是肉给的:嗯行，整吧，关我屁事。 回复@破音威朗:人家辟谣了，人家辟谣了，生病很可怜 回复@破音威朗:哎哟  我是谁粉丝我自己还不知道了，我从头到尾可没说她没整容，言之凿凿，我又没有整容医院专业报告，我只是说几年前辟谣了说她生病了 回复@琦琦超棒的:我吹啥啊，她真生病了，生病脸变了我这样觉得。我又没把握说人家真整了。 回复@琦琦超棒的:如果，姐姐 回复@破音威朗:哇，王心凌以前长的那么好看那么甜，就算现在变得没那么好看了也一样在我心里很好看。你有她好看吗？你不会老吗？你不会生病脸变形吗？你生孩子不落斑，你一辈子长一个样 回复@破音威朗:敢作敢当就得承认没有的事吗？如果她真的是生病变那样呢 回复@波波是个可爱的小女孩:但是她真没整吧，得病了被所有人嘲笑整容失败拿出来当案例 回复@破音威朗:你去看看她最近演唱会的视频吧，这张图我四五年前见的 回复@破音威朗:有的人天生长那样也是网红了呗 回复@破音威朗:那你觉得整容就觉得吧，我反正觉得生病挺可怜的，一边生病一边整容太苦了，你去买张演唱会第一排的票观察一下她整容没吧。 回复@大熊猫是保护动物:哎  生病难以避免，再说就算别人整容整惨了以此为乐也挺恶心吧 回复@JemappelleUrsula:宝贝，我刚开始看评论以为我三观出问题了，怎么会有人这样指着别人痛处哈哈大笑 回复@破音威朗:你去整形医院问了？脸不变形啥也不变？ 回复@破音威朗:患处皮肤局部剧痛，呈弥漫性红肿，境界不清，可有显著的凹陷性水肿，初为硬块，后中央变软、破溃而形成溃疡，约2周结瘢痕而愈。可有恶寒、发热等全身症状，部分患者可发生淋巴结炎、淋巴管炎、坏疽、败血症等。眼眶周围蜂窝织炎是一种严重的蜂窝织炎。 回复@大熊猫是保护动物:蜂窝组织炎 回复@希蜜露:好像是蜂窝组织炎 回复@破音威朗:蜂窝组织炎，我不是粉丝 王心凌没整容，是生病了，谢谢 回复@琦琦超棒的:姐姐，我没说她三观不正啊姐姐，我是和那个说这层评论恶毒的小姐姐说我还以为我三观出问题了,1
我以前用过  佳洁士的    效果可以  但是牙齿只要稍微不注意就痛  喝到风 痛   吸到口水 痛  酸  痛   而且当时我才用几次  就算了算了 打扰了 回复@仙女颜究所:不知道哇 回复@仙女颜究所:可能当时我才洗过牙  但是真的痛  特别是你敷上用美牙仪的时候  刚刚敷到十五分钟 牙齿碰到口水就开始钻着钻着疼  坚持不到你用完那个时间,1
回复@MXJYZL:感觉穿T恤还是清瘦点好看 回复@仙女颜究所:好滴，下次逛街试试[太开心][太开心] 我骨架大胸也大，穿T恤特难看 回复@十一点不背单词我是猪:[喵喵][喵喵][喵喵]居然还有这一招 大方脸适合啥发型？非要形容的话就跟巩俐脸型有点像，看着很凶，直发中分合适吗？,1
回复@是你的PINKY女友小苏:说事实也不行了这年头?[疑问]你们明星都是神吗说不得?脑残粉真的有意思，想要别人不评论你先把自己的臭嘴闭上别上来就一个屁[嘻嘻]放什么p这句话是你妈没有教过你什么是教养吗，下面任何一个人嘴都比你干净的多[嘻嘻]你家iu脖子前倾是事实呢不会有眼睛看吗?！[疑问]留着眼睛放屁啊?,1
回复@仙女颜究所:找不到定位[困] http://t.cn/AiHmAKIY [淚]我真的很喜欢内双 我双眼皮太深了 眼睛也不可爱 http://t.cn/AiH8qzA7,1
回复@仙女颜究所:那我要割眼袋了？ 我的呢[可怜] http://t.cn/AiHtCZA1,1
别给腿贴标签了，腿和脸不一样，不好看能整，代价也偏向比较小。关这腿的比例和长度一般人就难以企及，再来个匀称分界，这都快成最高标准了。如果最高标准才算好看的话，就别贴出来当一般标准了。就好像你觉得好看应该像神仙，然后拉出某位人间美女说这不好看。[摊手] 回复@大牙菌菌菌:这个我不清楚，但是应该通过体态矫正（运动向感觉你这个问题就可以有所改善 回复@大牙菌菌菌:断骨增高啊………,1
我觉得她气质超好，超美的，我周围的人都觉得[笑cry] 玻尿酸感觉也会下垂,1
我去空总做的双眼皮 根本没出任何方案 直接就上手术台 不知道是不是我本身的问题 做完之后 眼睛还是小,1
那除了医美，有别的方法可以改善吗？,1
这样会没有双下巴[允悲] 正常眼距的范冰冰瞬间就整容脸了,1
很瘦了，但是双下巴就是不低头也有，俺佛了[嘻嘻] 改善了咬合问题，以前因为下巴后缩，所以会刻意让下牙往前咬，看起来有下巴了，但是视觉上导致下颌骨往外扩。现在正畸一年，咬合正常后脸直接小了一圈，相当于下颌骨环切的效果吧(正面)，下巴也出来了一点，当然因为我是骨性嘴突，效果没有正颌那么好。希望和我情况一样的姐妹赶紧去做吧 回复@想不出的名字的:我应该是的,1
超级感激 [允悲] 脸歪太难过了 现在是说话整个脸都是往一边扯的 我之后去医院稍微看看吧 好滴 [泪] [泪][作揖]感激涕零 [泪] 差距太大了 分享图片 我现在这个脸 是不是要去医院做磨骨才能对称啊 但眼睛还是不知道怎么做 其实想让眼睛的眼角向下一点[泪][泪] 呜呜呜 就是我的脸部特别的不对称 现在右边的脸 嘴巴张大都会有那种明显的咯噔声 我这个是不是也属于骨头出了问题啊 其实之前都没有的 就是最近 而且我的眼睛也很奇怪的不对称 一边眼角特别向上 另一边还会稍微好一点 分享图片,1
额，但是她长得那么好看，这种体态也没影响啊，反正我看图1图2没看出哪里不好看了[允悲],1
这种脸型该怎么动骨头去改变呢？ 回复@仙女颜究所:晚上才关注博主就收到了回复，我好开心嘿嘿！我也是马思纯这种下巴[泪] 长尖翘、拐角点低，原本是地包天，做完正颌手术以后更显下颌厚重了，请问削骨时是要让拐角点上提，并且缩短颏部长度吗？,1
回复@肖战秘密女友:同款眼睛,1
我这种是中重度吗[允悲] http://t.cn/AiTB071t,1
天生眼袋浮肿 贼显老 只想去眼袋 回复@我可能是个智障吧:我的眼袋天生的[泪] 回复@白猫与青枝:脸型加上五官，素颜很显得蠢笨呆木。,1
回复@Asteria_Csl:那请问跟杨紫一样 瞳距近 眼间距也近 眼睛还是肿眼泡 鼻梁还不高 怎么办[允悲][允悲][允悲][允悲],1
好的谢谢！ 如果不想通过手术处理。在平时的化妆中要注意什么才能让眼睛看上去更有神采呢？ 像我这种是内呲赘皮吗？是话需不需要手术处理？ 分享图片 你好。,1
@只是想改一个谁都找不到的名字 玻尿酸打山根  以后鼻梁会变宽吗,1
不一定就是鱼尾纹，眼睑缺水，眼睑脂肪不够，眼睑皱纹。所有的元凶都是皮肤缺乏胶原蛋白。 回复@星辰40908:最快的办法就是做导入/做热玛吉 没事，医美皮肤能够拯救你，我们从源头解决皮肤颜色，色斑，黑头等问题。无须化妆，让你做一个自然美少女。[二哈][污][阴险],1
这种呐？ http://t.cn/AiTrX2yj 这种这种呢？ http://t.cn/AiTr62Jd 回复@仙女颜究所:谢谢[佩奇] 回复@仙女颜究所:好哒 谢谢姐妹[兔子] 回复@仙女颜究所:嗯嗯 脸上的肉肉是遗传的，是不是只能靠瘦脸针了啊？....[跪了][跪了][跪了]我是饼脸...还没下巴....我太难了…[允悲] http://t.cn/AiHVVUy2 iPhone前置...我的眼距也宽了吧[疑问] （还嘴巴不对称，眼睛不对称...我知道...[失望] http://t.cn/AiHVLR88 回复@仙女颜究所:图片评论 http://t.cn/AiHQvF0Q 我吃螺蛳粉的时候 男朋友在旁边bb，你吃??我也不会嫌弃你[哼] 最后一张我服[作揖][作揖][作揖],1
非常感谢！！ 谢谢～ 分享图片 hi～仙女们，麻烦帮我看看我适合做什么类型的双眼皮，内眼角是不是也要开呀？谢谢。,1
